family,contrast,adjusted_p_value,wins,losses,ties,effective_n,raw_p_value,estimate,ci_low,ci_high
primary,primary-0,1.0,1,2,1,3,1.0,-0.125,-0.5,0.25
primary,primary-1,1.0,1,1,2,2,1.0,0.0,-0.375,0.375
primary,primary-2,1.0,2,1,1,3,1.0,0.125,-0.25,0.5
primary,primary-3,1.0,1,2,1,3,1.0,-0.125,-0.5,0.25
primary,primary-4,1.0,1,1,2,2,1.0,0.0,-0.375,0.375
secondary,secondary-0,1.0,2,2,0,4,1.0,0.0,-0.3333333333333333,0.3333333333333333
secondary,secondary-1,1.0,2,2,0,4,1.0,0.0,-0.3333333333333333,0.3333333333333333
secondary,secondary-2,1.0,2,2,0,4,1.0,0.0,-0.3333333333333333,0.3333333333333333
secondary,secondary-3,1.0,2,2,0,4,1.0,0.0,-0.3333333333333333,0.3333333333333333
secondary,secondary-4,1.0,2,2,0,4,1.0,0.0,-0.3333333333333333,0.3333333333333333
secondary,secondary-5,1.0,2,2,0,4,1.0,0.0,-0.3333333333333333,0.3333333333333333
