method,stage,total,known,missing,positive
P,availability,,,,
P,claim_emitted,22,20,2,9
P,detected,22,20,2,9
P,independent_replay,22,20,2,0
P,native_witness,22,20,2,9
P,useful_proposal,22,20,2,9
T0,availability,,,,
T0,claim_emitted,22,22,0,6
T0,detected,22,22,0,6
T0,independent_replay,22,22,0,0
T0,native_witness,22,22,0,0
T0,useful_proposal,22,22,0,6
X,availability,,,,
X,claim_emitted,22,22,0,22
X,detected,22,22,0,12
X,independent_replay,22,22,0,12
X,native_witness,22,22,0,12
X,useful_proposal,22,22,0,12
